Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
105,OK,,180.0,101.7810819,5.90330275,139.444444,123.6,2473.735036,54.5406812,0.010706492,3.55201281,0.0220621,0.000137591,83.6,1.6722,0.022199691,0.285675,0.323196,0.391128
106,OK,,180.0,101.7810819,5.90330275,140.555556,123.6,2493.446088,54.9752683,0.007798326,3.99362267,0.024707909,9.97e-05,83.6,1.6722,0.024807584,0.285675,0.323196,0.391128
107,OK,,180.0,101.7810819,5.90330275,141.666667,123.6,2513.157123,55.4098554,0.005858097,4.43795273,0.027348729,7.45e-05,83.6,1.6722,0.0274232,0.285675,0.323196,0.391128
108,OK,,180.0,101.7810819,5.90330275,142.777778,123.6,2532.868157,55.8444425,0.004453671,4.87421465,0.029919086,5.63e-05,83.6,1.6722,0.029975397,0.285675,0.323196,0.391128
109,OK,,180.0,101.7810819,5.90330275,143.888889,123.6,2552.579191,56.2790296,0.00348211,5.30726146,0.032445678,4.38e-05,83.6,1.6722,0.032489457,0.285675,0.323196,0.391128
110,OK,,180.0,101.7810819,5.90330275,145.0,123.6,2572.290225,56.7136167,0.002608587,5.82725086,0.035477962,3.26e-05,83.6,1.6722,0.035510585,0.285675,0.323196,0.391128
111,OK,,180.0,106.8902247,6.19963303,135.0,123.6,2394.890899,52.8023328,0.070051556,1.794665,0.011301076,0.000918456,83.6,1.6722,0.012219531,0.285675,0.323196,0.391128
112,OK,,180.0,106.8902247,6.19963303,136.111111,123.6,2414.601934,53.2369199,0.039003795,2.18421934,0.013703759,0.000508883,83.6,1.6722,0.014212642,0.285675,0.323196,0.391128
113,OK,,180.0,106.8902247,6.19963303,137.222222,123.6,2434.312968,53.671507,0.024355651,2.57366588,0.016087567,0.000316129,83.6,1.6722,0.016403696,0.285675,0.323196,0.391128
114,OK,,180.0,106.8902247,6.19963303,138.333333,123.6,2454.024002,54.1060941,0.017072067,3.0026802,0.018697416,0.000220409,83.6,1.6722,0.018917825,0.285675,0.323196,0.391128
115,OK,,180.0,106.8902247,6.19963303,139.444444,123.6,2473.735036,54.5406812,0.011111328,3.51000363,0.021767539,0.000142672,83.6,1.6722,0.02191021,0.285675,0.323196,0.391128
116,OK,,180.0,106.8902247,6.19963303,140.555556,123.6,2493.446088,54.9752683,0.008683358,3.86570518,0.023885738,0.000110905,83.6,1.6722,0.023996643,0.285675,0.323196,0.391128
117,OK,,180.0,106.8902247,6.19963303,141.666667,123.6,2513.157123,55.4098554,0.006481449,4.30225872,0.026477542,8.23e-05,83.6,1.6722,0.026559865,0.285675,0.323196,0.391128
118,OK,,180.0,106.8902247,6.19963303,142.777778,123.6,2532.868157,55.8444425,0.004837044,4.76476194,0.029208759,6.11e-05,83.6,1.6722,0.029269872,0.285675,0.323196,0.391128
119,OK,,180.0,106.8902247,6.19963303,143.888889,123.6,2552.579191,56.2790296,0.003832822,5.17516594,0.031602209,4.82e-05,83.6,1.6722,0.031650375,0.285675,0.323196,0.391128
120,OK,,180.0,106.8902247,6.19963303,145.0,123.6,2572.290225,56.7136167,0.00300544,5.61643171,0.034160693,3.76e-05,83.6,1.6722,0.034198257,0.285675,0.323196,0.391128
121,OK,,180.0,111.9993672,6.4959633,135.0,123.6,2394.890899,52.8023328,0.084890001,1.69597676,0.01066419,0.00111182,83.6,1.6722,0.01177601,0.285675,0.323196,0.391128
122,OK,,180.0,111.9993672,6.4959633,136.111111,123.6,2414.601934,53.2369199,0.047478233,2.05870318,0.012898854,0.000618887,83.6,1.6722,0.013517741,0.285675,0.323196,0.391128
