Row/Case,Status,Description,T2 ,"AIR2 
","ACID_GAS
 
","AIRFLOW 




KMOL/HR 
","ACID_GAS 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
168,OK,,140,13.5095211,160,123.6,160,62.5805426,0.000208502,8.5013434,0.047617007,2.39E-06,0.864150237,19949.4391,0.7725
169,OK,,140,13.9985684,121,123.6,121,47.3265353,3.71352081,0.30691636,0.001899604,0.047404091,0.915048986,0.040072576,1.0214876
170,OK,,140,13.9985684,124,123.6,124,48.4999205,3.1678317,0.392447845,0.002416597,0.040316873,0.926592054,0.05994008,0.996774194
171,OK,,140,13.9985684,127,123.6,127,49.6733057,2.64417771,0.501429208,0.003070965,0.033533295,0.936674097,0.091579578,0.973228346
172,OK,,140,13.9985684,130,123.6,130,50.8466908,2.1330611,0.646378656,0.003936076,0.026945584,0.94533686,0.146074977,0.950769231
173,OK,,140,13.9985684,133,123.6,133,52.020076,1.6481795,0.838993333,0.005077929,0.020725155,0.952188212,0.245012832,0.929323308
174,OK,,140,13.9985684,136,123.6,136,53.1934612,1.19069041,1.09428001,0.006580499,0.014895937,0.957044148,0.441764689,0.908823529
175,OK,,140,13.9985684,139,123.6,139,54.3668464,0.781423265,1.44609277,0.008636032,0.009715567,0.959028044,0.888886099,0.889208633
176,OK,,140,13.9985684,142,123.6,142,55.5402315,0.430716209,1.93534713,0.011469414,0.005313547,0.957399109,2.15852305,0.870422535
177,OK,,140,13.9985684,145,123.6,145,56.7136167,0.174041419,2.59428425,0.015251289,0.002128254,0.951187637,7.16610517,0.852413793
178,OK,,140,13.9985684,148,123.6,148,57.8870019,0.028553537,3.49632726,0.020364456,0.000345195,0.93910756,58.9940935,0.835135135
179,OK,,140,13.9985684,151,123.6,151,59.0603871,0.001766557,4.64068219,0.026764441,2.11E-05,0.921394881,1270.17022,0.818543046
180,OK,,140,13.9985684,154,123.6,154,60.2337722,0.000724242,5.82931025,0.033282392,8.52E-06,0.903209873,3906.26745,0.802597403
181,OK,,140,13.9985684,157,123.6,157,61.4071574,0.00011746,7.03403452,0.039753255,1.36E-06,0.885450617,29166.6437,0.787261146
182,OK,,140,13.9985684,160,123.6,160,62.5805426,0.000663582,8.22193061,0.045994944,7.60E-06,0.868607816,6055.41559,0.7725
183,OK,,140,14.4876158,121,123.6,121,47.3265353,3.81413221,0.300496456,0.001854182,0.048527529,0.913058739,0.03820886,1.0214876
184,OK,,140,14.4876158,124,123.6,124,48.4999205,3.27633794,0.382010356,0.002345187,0.041555275,0.924570015,0.056435355,0.996774194
185,OK,,140,14.4876158,127,123.6,127,49.6733057,2.74188346,0.488255693,0.002981432,0.03466107,0.934972333,0.086016734,0.973228346
186,OK,,140,14.4876158,130,123.6,130,50.8466908,2.22809248,0.627437895,0.003809652,0.028058122,0.943840389,0.135777156,0.950769231
187,OK,,140,14.4876158,133,123.6,133,52.020076,1.73741378,0.812275248,0.004902384,0.021783042,0.950986442,0.225055084,0.929323308
