HEATER2_output_T_SP,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
140,12.0423789,137.421053,123.6,137.421053,53.7492752,0.684410294,1.47019456,0.008907749,0.008631419,83.6,1.672195,0.017539168
140,12.0423789,139.473684,123.6,139.473684,54.5521177,0.446435918,1.80596785,0.010885371,0.005601244,83.6,1.672195,0.016486615
140,12.0423789,141.526316,123.6,141.526316,55.3549602,0.251373661,2.22602099,0.013343015,0.003134991,83.6,1.672195,0.016478006
140,12.0423789,143.578947,123.6,143.578947,56.1578027,0.107753507,2.75192846,0.016397576,0.001334459,83.6,1.672195,0.017732034
140,12.0423789,145.631579,123.6,145.631579,56.9606452,0.025319429,3.38580883,0.020046796,0.000311021,83.6,1.672195,0.020357817
140,12.0423789,147.684211,123.6,147.684211,57.7634877,0.002152899,4.16357244,0.024483594,2.62E-05,83.6,1.672195,0.024509796
140,12.0423789,149.736842,123.6,149.736842,58.5663301,0.001019411,4.97921771,0.029075515,1.23E-05,83.6,1.672195,0.029087803
140,12.0423789,151.789474,123.6,151.789474,59.3691726,0.000613136,5.82581768,0.033769042,7.32E-06,83.6,1.672195,0.033776358
140,12.0423789,153.842105,123.6,153.842105,60.1720151,0.000484718,6.5907141,0.037948509,5.73E-06,83.6,1.672195,0.037954241
140,12.0423789,155.894737,123.6,155.894737,60.9748576,0.000256026,7.435142,0.042503527,3.00E-06,83.6,1.672195,0.042506526
140,12.0423789,157.947368,123.6,157.947368,61.7777001,0.000425549,8.2491787,0.046822027,4.94E-06,83.6,1.672195,0.046826964
140,12.0423789,160,123.6,160,62.5805426,0.000145566,9.10755893,0.051314413,1.67E-06,83.6,1.672195,0.051316086
140,12.5314263,121,123.6,121,47.3265353,3.41405151,0.329351644,0.002057319,0.044016463,83.6,1.672195,0.046073781
140,12.5314263,123.052632,123.6,123.052632,48.1293778,3.04408528,0.390227048,0.002428898,0.039162228,83.6,1.672195,0.041591126
140,12.5314263,125.105263,123.6,125.105263,48.9322203,2.68128571,0.463735819,0.002875741,0.034413755,83.6,1.672195,0.037289496
